Author1;Author2;Frequency
Botswana;Botswana;6
Botswana;USA;4
Brazil;Brazil;40
Brazil;Colombia;6
Brazil;Netherlands;3
Brazil;UK;3
Chile;Chile;1
Chile;New Zeland;2
Colombia;Colombia;21
Colombia;Italy;2
Colombia;Spain;4
Egypt;Egypt;3
India;India;1
Iran;Iran;4
Iran;Netherlands;1
Mexico;Canada;1
Mexico;Mexico;1
Morocco;Morocco;3
Netherlands;UK;1
Spain;Italy;1
USA;USA;19
